Klasor Adi;Ders Adi;Kurum
9704e288ed528b3f4829d81486b82438f06dfab5-1707500744743;Temel Matematik Konu: ;Kurum Girilecek
6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1712167898464;ANLAMA DÜZEYLERİ VE BLOOM TAKSONOMİSİ;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1732639641960;TANZİMAT EDEBİYATI-6;Kurum Girilecek
e60003cc242983d50a26e43e5ba9f6b8871a0f8c-1748804281978;MAYIS AYI REHBERLİK;Kurum Girilecek
49627198b3301c7a6ad870577cb0d5f8b9cf6473-1741113846519;Osmanlı Tarihi ;Kurum Girilecek
c1cc3e67f92dab324097eac0a1c3e9bf0a61411b-1734112210547;YKS Tarih: ;Kurum Girilecek
2b34ff093a4fe562ccbd4d1dec9defa11fabe2e9-1773773320632;ANLATIM BİÇİMLERİNİN ÖĞRETİMİ;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1709660927971;CUMHURİYET ŞİİRİ -6;Kurum Girilecek
79f05e118295ba293edb671850ae6492c1a53e13-1736695391308;Eğitimin Temelleri:;Kurum Girilecek
c5fd730685ce30fbef8aa430afba76a89e473b0f-1744818617650;Coğrafya: ;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1741454175650;YAZMA TEKNİKLERİ-1;Kurum Girilecek
0ef3638c0c1a553a841e2fade315e0237daeb1df-1719315918582;2024 Haziran EB Program Geliştirme ;Kurum Girilecek
35055dac95adb3f6c0c8afe1593ea9f87912dc72-1763312098477;Fransız Edebiyatı;Kurum Girilecek
488157bfd6ae9dd57de3a81a1982617d78b04938-1740504996791;Osmanlı Tarihi ;Kurum Girilecek
610191cd19e0ac8a4090faa00c580eb79e164f61-1719332796026;Eski Dil Soru Çözümü ;Kurum Girilecek
fd5c21dfcef4665bb7e8b67c9d7f92cb619f22e0-1748882635516;KONUŞMA EĞİTİMİ - 4;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1772816195920;MİLLİ EDEBİYAT-8;Kurum Girilecek
8b04ea855d9d5c790faa74e3a476ed6085b6364e-1709914908039;DUNYA EDEBİYATI-YARIM KALANLARA...;Kurum Girilecek
c2bdcd65896ccb7d920c772a7023ec30413ca386-1743955001620;ÇOCUK EDEBİYATINDA PLAN VE ÜSLUP;Kurum Girilecek
6fb816cac8d877ed782a082bbfb25c5eb5744b39-1762796369467;tür ve şekil;Kurum Girilecek
15a2ee8b633f754e598185dfa9a9fcf803a820c1-1721425929241;8. DENEME (EDEBİYAT DERSLERİ ÇÖZÜMÜ);Kurum Girilecek
bf34a30375919b679162e745b11e71cb60b00db8-1718988871752;beyit incelemeleri;Kurum Girilecek
f2cbea88fd85117b36715ad29b52afd6488b00e6-1739814873593;tür ve şekil;Kurum Girilecek
885cd183396123664aae15258f36ab40589223ad-1745510159857;1982 ANAYASASI 7. DERS;Kurum Girilecek
141ffae6c07d811a3ce22ccb1efda17ab4e944a5-1745682629839;Coğrafya: ;Kurum Girilecek
a592c2b6eca876231939f8072479846e9c441e5f-1709314541910;Eski Edebiyat Konu: ;Kurum Girilecek
dc12c9d877c70209ea7d0274e884c99ee397001f-1765302571856;Sözcük türleri (Tamlamalar)-10;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1771606792403;SERVETİFÜNUN EDEBİYATI-6;Kurum Girilecek
15a2ee8b633f754e598185dfa9a9fcf803a820c1-1710199603323;2. DENEME (ALAN EĞİTİMİ ÇÖZÜM);Kurum Girilecek
96799d44ee03757118ca942f4420977e2fa2f2a2-1720284837258;CİHANGİR-13;Kurum Girilecek
f01da302e2b3ef033bf606d50c208a25db2c49ba-1703173706132;Felsefe Konu: ;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1702137131005;halk biliminde kuramlar ve yöntemler;Kurum Girilecek
f2cbea88fd85117b36715ad29b52afd6488b00e6-1738606866463;islam öncesi tür ve şekiller;Kurum Girilecek
d6601ffcd1f8ea4cdf8dcc46b5624fc2e1fb5dee-1719989179999;2024 Haziran EB ÖYT 1;Kurum Girilecek
37aefa001f5ef33c14fdbbff4adaf0a280e8c07b-1740757537277;Yeni Türk Edebiyatı 1. Ders;Kurum Girilecek
9964781de9b810610e924ce126abc3896f0fdfc0-1736264705065;Türkçe Sözcük Türleri;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1770396434433;TANZİMAT EDEBİYATI-7;Kurum Girilecek
e9110848f53ff0139b2480f8a0eff73f726cf77b-1696440446036;Türkçe 1 Konu: ;Kurum Girilecek
43e0c24a708ac8def75adeaf6b9f65e130d4bdd0-1718043557353;devam video işlerine;Kurum Girilecek
acb0d8b3bfc8f2099018dc7284ee9b7c5cbbe152-1709055247861;AYT Fizik Konu: ;Kurum Girilecek
b7c42dae521d8092596b66c0f3f40fc0f452bd0b-1699370691007;TYT Tarih Konu: ;Kurum Girilecek
35eb2cbe501b7461a51be4c9ce1361d2797d90dd-1743781526032;Eski Türk Dili ;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1742322316976;CUMHURİYET ROMAN-3;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1739901055110;CUMHURİYET ŞİİRİ-6;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1702140931420;kuramlar yöntemler;Kurum Girilecek
403e7c4599e9a25f7617b1b86e974585ad29418a-1717517621850;28) Dil Bilgisi Çıkmış Sorular) 2;Kurum Girilecek
6fb816cac8d877ed782a082bbfb25c5eb5744b39-1767026665723;diğer anonim halk türleri realist halk hikayeleri fıkra vs;Kurum Girilecek
126daed65e09b0d0b93950e76767538397736a7d-1749994205797;2025 Eğitimin Temelleri ve Türk millî eğitim sistemi ;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1704213928979;FECRİATİ EDEBİYATI-3;Kurum Girilecek
51ff007f49e5d77e56517d69fb5c853e9d09bd18-1776620373560;KONUŞMA ÖĞRENME ÇIKTILARI - 3;Kurum Girilecek
4e115b4f2f6895ce8fc92bc882a966a33afede39-1776355484548;Beyit Şerhi-4;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1705420316120;SERVETİ FÜNUN VE FECR-İ ATİ SORU ÇÖZÜMÜ 1;Kurum Girilecek
7ba3f3c3da05d0886c8d71cbe1b5d5fe4e291d44-1707839644966;İnkılap Tarihi Konu: ;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1734194548723;DİNLEME STRATEJİLERİ;Kurum Girilecek
4843217fb17e7da945ac32a9b12b68e75535bed2-1745861319990;Maarif model ;Kurum Girilecek
63175c9bc1a07dc877cffb0f987d9d6585316670-1748108357172;GENEL DEĞERLENDİRME - 1;Kurum Girilecek
2a3118bee8adb487c610585b9ef9cfb19b60625b-1700240516993;dil bilim 5;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1742667471903;ÖLÇME VE DEĞERLENDİRME;Kurum Girilecek
8797722914e101baa4578694025ea8348a748303-1782142814641;Eski Türk Edebiyatı-1;Kurum Girilecek
4adec965cf9d34216d8c57fe62fbcdda0b7883c1-1685889922836;Başer Başok Rehberlik;Kurum Girilecek
f1cbfe73f54c5f8e7ea84ac4161fbabca35c7df9-1707673538326;Temel Matematik: ;Kurum Girilecek
f85966909d1f29c22ded1d5025b5e201d739c72a-1688818942047;2018 ESKİ DİL;Kurum Girilecek
dea4275ba419fb51dd1994240f5479fc2d8f7b54-1740584736272;Coğrafya: ;Kurum Girilecek
33099956389d432e3faa0e7a8e653b27622862df-1732297803221;YKS Tarih: ;Kurum Girilecek
f1b68c3f6df88b7db08c7d3072a2f9e6da11135f-1714672827612;AYT kimya: ;Kurum Girilecek
fe534ba2be486200b29eba3998f61d35ede4b765-1734537256693;Beyit incelemesi - sanatlar;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1715705527529;ÖĞRETİCİ METİNLER -2;Kurum Girilecek
e27116f2f1bcc8256f8baafd81ad668dac7ebba6-1714319163044;Eski Edebiyat Soru Çözümü 5;Kurum Girilecek
3952b1ba6290cff1170a97c1b872549e03a00571-1738345669651;39. CÜMLE BİLGİSİ (Filde Çatı) -6;Kurum Girilecek
d5a49c3ab0991a06073f0f2931a2fc49ad269629-1764863623756;Aruz Bilgisi-1;Kurum Girilecek
885cd183396123664aae15258f36ab40589223ad-1746114667287;1982 ANAYASASI 7. DERS;Kurum Girilecek
c9fb682793020250e7128639d6d1c82b74b16d72-1737903573990;Eğitimin Temelleri ;Kurum Girilecek
3af846574fd50b2f85a88fec4e1df1aa4af0361e-1750631727239;6. DENEME DİLBİLGİSİ DİLBİLİM EDEBİYAT ÇÖZÜMÜ;Kurum Girilecek
15a2ee8b633f754e598185dfa9a9fcf803a820c1-1721854527810;9. DENEME (DİL BİLGİSİ - DİLBİLİM ÇÖZÜMÜ);Kurum Girilecek
65baf40f4303b0fb58c18b84597e08a60598e0d0-1721838089721;2024 Alan Eğitimi Soru Çözümü ;Kurum Girilecek
c5967c4fc9f898d6b3850b992bd73436d58e24df-1732808789879;Yeni Türk Dili Soru Çözümü  4;Kurum Girilecek
78f2e66c4016642facb062f797b0705514e18b9b-1708850268096;AYT Matematik Konu: ;Kurum Girilecek
fe86cfce13d050c22668f7ad0ee4cd2bddd8e76b-1701621925578;Türkçe Konu: Sıfat-Zarf;Kurum Girilecek
58fee96126fbde0c4f5e3c147df457ad979a56d4-1702489863284;söz sanatları teşbih türleri;Kurum Girilecek
f758a55faf0bb80534e91f645d498af084116fbe-1700846534896;Coğrafya Konu: ;Kurum Girilecek
fe534ba2be486200b29eba3998f61d35ede4b765-1735753242706;sanatlar;Kurum Girilecek
c2bdcd65896ccb7d920c772a7023ec30413ca386-1744563760507;ÇOCUK EDEBİYATININ TARİHÇESİ -1;Kurum Girilecek
f2d8df9546f8e0eef4ec96df252d5f351ad6bff4-1700840415348;Halk Edebiyatı Konu: Halk Bilimi Kuramlar ve Yöntemler;Kurum Girilecek
cf8539c75efb921b1961ecdf506822a09193f054-1740923926596;Eğitimin Temelleri ;Kurum Girilecek
bf4bf360585c8beadc8e655f38b824ded0148895-1702568811143;Felsefe Konu: ;Kurum Girilecek
0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1697298330966;OKUMA EĞİTİMİ KAZANIMLARI- 3;Kurum Girilecek
7065916682f84b43a32e1754bdc7d6bb24fd3bd8-1721389686549;2024 Alan Eğitimi Soru Çözümü 2;Kurum Girilecek
dc12c9d877c70209ea7d0274e884c99ee397001f-1767721140957;37. CÜMLE BİLGİSİ (Cümle Çeşitleri)-9;Kurum Girilecek
544290a16cca1f925668ab4e1a722ec4ff32b501-1711559492907;AYT Kimya: KİMYASAL DENGE 2;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1707846952787;MİLLİ EDEBİYAT-9;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1772214820035;MİLLİ EDEBİYAT-3;Kurum Girilecek
e570092aabca935693076c2e8e38e165e8b99a0e-1711737452940;Eski Edebiyat: 13-14. YY sanatçıları;Kurum Girilecek
beef158e3d4c87266ee78d9bf2d8e9fecdcc5026-1705080310943;Eski Edebiyat Konu: Nazım Biçimleri 2;Kurum Girilecek
48a7cf6cd661cd9cc6d1db146ee6260d313c8070-1674747350046;Eski Türk Dili 35, Uygur Türkçesi;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1773424051663;CUMHURİYET ŞİİRİ-5;Kurum Girilecek
403e7c4599e9a25f7617b1b86e974585ad29418a-1716915628604;23) Cümle Bilgisi) Soru Çözümü-2;Kurum Girilecek
c04a9371d4320e4116dc6cf2ca0241731b345d49-1711801148886;AYT Edebiyat: ;Kurum Girilecek
7fd2f948a1f6cecb3e54a9c3e53f5c712948fe53-1746986701452;SORU ÇÖZÜMÜ- 5;Kurum Girilecek
0cdf6bd3767fc474a2e0c22b9a51e32190be8922-1705853929513;Dev Paragraf Kampı : Sözcükte Anlam;Kurum Girilecek
0227ecef24ffd5f993e3a594193ec0e6cca913b3-1774892872315;ÇOCUK EDEBİYATI-6;Kurum Girilecek
975229ad30f83f67fff0cb3430c313edfa6e64a6-1742129041142;çözüm 12;Kurum Girilecek
58fee96126fbde0c4f5e3c147df457ad979a56d4-1709137432277;şair yazar ve eserler;Kurum Girilecek
63f2e14f54fa66ec3aceda1ecb023cfc40028865-1770134335596;DİL, DİL TEORİLERİ VE DİL AİLELERİ-1;Kurum Girilecek
00fe88eb8e724e753e45df51acf9b3196ba82106-1711472567170;TYT Tarih : ;Kurum Girilecek
fb393599a4d4dede4080633f31fdd7ef975a8405-1713196602056;GYGK matematik: ;Kurum Girilecek
3d8d0218de4a80dbae53591f0c51d550ad5b4638-1744182016362;Matematik: ;Kurum Girilecek
569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722356666104;halk sorularla genel tekrar;Kurum Girilecek
9a9ced7bcd6aa9448db1f96f71b5d557c8b77b9c-1682612675342;Eski Türk edebiyatı 7 Söz Sanatları;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1730999483760;ÖĞRENME VE ÖĞRETME YAKLAŞIMI;Kurum Girilecek
569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721052998687;DÖRT TEMEL BECERİ - 1;Kurum Girilecek
eeda7373576b5e36145f803f85b9f0aaf9a9717a-1699464300369;GYGK Türkçe Konu: Noktalama İşaretleri;Kurum Girilecek
6fb816cac8d877ed782a082bbfb25c5eb5744b39-1766415351129;halkhikayeleri;Kurum Girilecek
0227ecef24ffd5f993e3a594193ec0e6cca913b3-1777314563972;ÇOCUK EDEBİYATI-18;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1730562346683;GİRİŞ - TANIŞMA;Kurum Girilecek
dc12c9d877c70209ea7d0274e884c99ee397001f-1762279879029;ŞEKİL/YAPI/BİÇİM BİLGİSİ (Kök + Ek Bilgisi)-2;Kurum Girilecek
d5a49c3ab0991a06073f0f2931a2fc49ad269629-1772736022182;Klasik Türk Edebiyatı Tarihi-5;Kurum Girilecek
7d856a5528132d97c75d058e84f41111ba0cfb69-1746027718246;aruz 4 söz sanatları 1;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1736265773357;FECRİATİ EDEBİYATI-3;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1706025371019;MİLLİ EDEBİYAT -1;Kurum Girilecek
fe97c26ad707b200947e4b32aa1cd2caef4f7664-1702921044773;Tarih Konu: ;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1769623183330;YENİ TÜRK EDEBİYATININ OLUŞUMU-2;Kurum Girilecek
2b34ff093a4fe562ccbd4d1dec9defa11fabe2e9-1778953008558;METİN VE ANLAM KURMA;Kurum Girilecek
6b20b8a70e36f7654e5448bd3e190e3ee7dfab7e-1674056801178;MİLLİ EDEBİYAT DİĞER ROMANCILARYeni Türk Edebiyatı 22,;Kurum Girilecek
009044a3a0db6bedefc17d61dd56b21905091e2b-1696866629313;Matematik Konu: ;Kurum Girilecek
8ec9e330b97cc8678176cb4cde8dc4198504c698-1754337583959;KONYA TEKNİK ÜNİVERSİTESİ;Kurum Girilecek
63f2e14f54fa66ec3aceda1ecb023cfc40028865-1767372360266;NOAM CHOMSKY - 2;Kurum Girilecek
d90157ea40f16f41521275a6bc0d80efe5fd5fa4-1683048901219;Eski Türk Edebiyatı 11 Söz Sanatları;Kurum Girilecek
6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1710955329729;DİL BİLGİSİ ÖĞRETİMİ;Kurum Girilecek
569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721147124681;eski edebiyat sorularla genel tekrar;Kurum Girilecek
2c9c467309288b393c174b75223f4225b0d7472a-1757177436262;TANIŞMA DERSİ;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1698767744720;YENİ TÜRK EDEBİYATININ OLUŞUMU-1;Kurum Girilecek
885cd183396123664aae15258f36ab40589223ad-1743700116588;7528 SAYILI KANUN 5. DERS;Kurum Girilecek
3952b1ba6290cff1170a97c1b872549e03a00571-1735927413534;30) Dil bilgisi [Sözcük Türleri (fiil, ek-fiil, fiilimsi)]-2;Kurum Girilecek
f6972178b42e43351c55d12b4dd8450d6a45806b-1709740791347;Vatandaşlık Konu: ;Kurum Girilecek
91e0c06bcf3cc51eebdc06b505b7d9f137f644db-1701539705231;Yeni Türk Dili: Türkçenin Özellikleri ;Kurum Girilecek
d69442712f02f7c0620a2e9cf550e6e0c52fea42-1720108683856;2024 Haziran GYGK Vatandaşlık Soru Çözümü 1;Kurum Girilecek
6e97c912b560ec00e070b532a7141b0879fae4c1-1703429994933;Geometri Konu: ;Kurum Girilecek
63f2e14f54fa66ec3aceda1ecb023cfc40028865-1774799766178;Gösterge Bilimi (Semiyotik) - 2;Kurum Girilecek
96799d44ee03757118ca942f4420977e2fa2f2a2-1719935690282;CİHANGİR - 9;Kurum Girilecek
3952b1ba6290cff1170a97c1b872549e03a00571-1738338933449;37. CÜMLE BİLGİSİ (ÖGELER) -4;Kurum Girilecek
a6d22ae351213dc4b0f7487d59b75f1eb470e6d1-1702309452908;Matematik Konu: ;Kurum Girilecek
08d16232eddaa85b4b90438feaec58b21c6f26f1-1716911504850;AYT Coğrafya Soru Çözümü: ;Kurum Girilecek
8b04ea855d9d5c790faa74e3a476ed6085b6364e-1710095908644;DÜNYA EDEBİYATI SON 2;Kurum Girilecek
da8703a216e3a655280c2582a14bbaa2e80f2f6e-1708709395858;Eski Edebiyat Konu: ;Kurum Girilecek
4e115b4f2f6895ce8fc92bc882a966a33afede39-1777564858177;Beyit Şerhi-10;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1740852870309;YAZMA TÜRLERİ;Kurum Girilecek
42faebd61bbb420231b95ac6749f4ed5a0c51057-1673974656554;Eski Türk Dili 29 Dil Aileleri;Kurum Girilecek
d5a49c3ab0991a06073f0f2931a2fc49ad269629-1765475008005;Aruz Bilgisi-6;Kurum Girilecek
fd5c21dfcef4665bb7e8b67c9d7f92cb619f22e0-1748277166535;KONUŞMA EĞİTİMİ-1;Kurum Girilecek
d5a49c3ab0991a06073f0f2931a2fc49ad269629-1767285677516;Günümüz Türkçesine Aktarım-5;Kurum Girilecek
37436fa23c3e2a43a38faed3fd27cff478431962-1705945027515;İnkılap Tarihi Konu: ;Kurum Girilecek
4e115b4f2f6895ce8fc92bc882a966a33afede39-1778172398485;Beyit Şerhi-14;Kurum Girilecek
007fe11743ea2c2064b2dac4ad67b15f3b1f861c-1711213712662;Geometri Konu: ;Kurum Girilecek
3952b1ba6290cff1170a97c1b872549e03a00571-1734714076542;23) Dil bilgisi [Sözcük Türleri (isim, zamir, sıfat, zarf)]-5;Kurum Girilecek
3952b1ba6290cff1170a97c1b872549e03a00571-1730476386907;1. Dil bilgisi (Tanışma ve Türk Ses Bilgisi);Kurum Girilecek
892b584343d0c9fc7ab552c5c90bbfd699dca74d-1739721022181;EDİM BİLİMİ 2 (TELAFİ);Kurum Girilecek
d196b35baf7e6d8d21f26e47841194f048319bb9-1697649611838;Türkçe Konu: ;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1772823699886;MİLLİ EDEBİYAT-10 (BAĞIMSIZ SANATÇILAR);Kurum Girilecek
569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722011317770;ÇOCUK EDEBİYATI  SORU ÇÖZÜMÜ VEDASAL BİR ŞEYLER:(;Kurum Girilecek
9bc572b60e9e746abd97472a7b907c8a93395411-1746381638548;Eğitimin Temelleri ;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1741714023767;CUMHURİYET ŞİİRİ-13;Kurum Girilecek
5c288540cc4a3963fdae332c9d03f4a623c474ee-1734880849513;İngiliz Ed. Devam;Kurum Girilecek
f2cbea88fd85117b36715ad29b52afd6488b00e6-1739212789940;halk edebiyatı tür ve şekil;Kurum Girilecek
059f2ad29732c04932217af6f0290782094cecca-1750959501050;DÖRT TEMEL BECERİ - 3;Kurum Girilecek
2a0a83defb2bbc4670c0d194377c86b8f149abec-1669910334627;Eski Türk Dili 3, Şahıs Ekleri;Kurum Girilecek
b51a554fa997a9caed37a68764f40cbbe1a3af04-1742972152842;2025 Matematik ;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1715097577922;CUMHURİYET ROMANI-9;Kurum Girilecek
f2cbea88fd85117b36715ad29b52afd6488b00e6-1747324556433;halk edebiyatı kaynakları;Kurum Girilecek
85cf7f78d52f24b1855c37e9a252bd190adc9774-1685202445584;SORU ÇÖZÜMÜ - 14;Kurum Girilecek
15a2ee8b633f754e598185dfa9a9fcf803a820c1-1710181630558;2. DENEME (DÖRT TEMEL BECERİ ÇÖZÜM);Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1734198102825;DİNLEME STRATEJİLERİ - 2;Kurum Girilecek
69891d4118df6e2b5267a4a8058923b15a118289-1686322398638;İbrahim Beyter Genel Tarih;Kurum Girilecek
cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1680544362109;cumhuriyet dönemi sanatçıları;Kurum Girilecek
ae7ea0e83f34ac108455b620db18edc414a3da34-1713284683730;4 Temel Beceri: ;Kurum Girilecek
bf34a30375919b679162e745b11e71cb60b00db8-1720112290478;beyit incelemeleri;Kurum Girilecek
07ed09fae5a10e14d1980e754cfed4c63a2944d9-1701187008282;Vatandaşlık Konu: ;Kurum Girilecek
1cace4cb383e4b2f18fe33a972b8c7e666df302a-1721720872345;2024 Temmuz Halk Edebiyatı Soru Çözümü 2;Kurum Girilecek
0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1696351988516;DİNLEME EĞİTİMİ KAZANIMLARI;Kurum Girilecek
5347efc7fe3feb8660f9398a122bc02925977be8-1697352623666;TYT Fizik Konu: ;Kurum Girilecek
0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1696956361514;OKUMA EĞİTİMİ KAZANIMLARI- 2;Kurum Girilecek
059f2ad29732c04932217af6f0290782094cecca-1751125762352;DÖRT TEMEL BECERİ - 4;Kurum Girilecek
2a3118bee8adb487c610585b9ef9cfb19b60625b-1703864947054;dil bilim - kop gel günahlarından vol1;Kurum Girilecek
ecaa3954da8b6e86bbe2d6ae5155126ebbdf404a-1705598940299;Eski Dil Konu: İsim Çekim Ekleri 2;Kurum Girilecek
059f2ad29732c04932217af6f0290782094cecca-1752083388343;halk tekrar;Kurum Girilecek
8797722914e101baa4578694025ea8348a748303-1782493042891;halk 2;Kurum Girilecek
c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1777823779953;SORU ÇÖZÜMÜ-14 ASIM KARA;Kurum Girilecek
0ca411c77b1d558057fe2f92b8efa4fab8216a0e-1703919430390;Biyoloji Konu: ;Kurum Girilecek
ca3bf90073145d8f55d126324d9d1e2a50545bd0-1742662715836;Eski Dil Soru Çözümü;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1703955232525;halk edebiyatı türler;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1705168268356;aşık edebiyatı halk ozanları;Kurum Girilecek
9483f9b4c8f357f74b159e62b0bb261e025c62ff-1700149138832;Ses olayları 1;Kurum Girilecek
4f92185b146000ecccc98354989a8ee23176cc9b-1695830089577;Tarih 4;Kurum Girilecek
dc12c9d877c70209ea7d0274e884c99ee397001f-1767714711064;CÜMLE BİLGİSİ (Fiilde Çatı, o biterse cümle çeşitleri:) )-7;Kurum Girilecek
5c288540cc4a3963fdae332c9d03f4a623c474ee-1731255204947;AKIMLAR 5;Kurum Girilecek
8b7b364454dda2eb528c78754ff5142321d7063d-1697564788357;TYT Fizik Konu: ;Kurum Girilecek
6fb816cac8d877ed782a082bbfb25c5eb5744b39-1762789993125;halk edebiyatında tür ve şekil;Kurum Girilecek
17f6bffe37d2d36ff2b58bd30aa524ce82e98693-1699464688343;Türkçe Konu: Sözcük Türleri Zarf;Kurum Girilecek
35055dac95adb3f6c0c8afe1593ea9f87912dc72-1766339542424;amerikan 3;Kurum Girilecek
f6e470e6e83e799ae648e0169a1c2573b311ad2e-1716739341157;TYT Tarih Soru Çözümü ;Kurum Girilecek
c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1746207488069;"2024 SORULARININ ÇÖZÜMLERİ - ANALİZİ VE ""VEDAMIZ""";Kurum Girilecek
c0410ab4fe0f2fb194e9f55dedc65a87c4486118-1680632389768;Yeni Türk Edebiyatı ELEŞTİRİ KURAMLARI 46,;Kurum Girilecek
7d856a5528132d97c75d058e84f41111ba0cfb69-1746031647725;Söz Sanatları 1;Kurum Girilecek
6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1712164633182;ANLAMA MODELLERİ;Kurum Girilecek
0a8b380337115436682e2dd7c0e2ea94b950ac84-1669831367010;Yeni Türk Edebiyatı 5,;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1705423381065;SERVETİ FÜNUN VE FECRİ ATİ SORU ÇÖZÜMÜ 2;Kurum Girilecek
bf34a30375919b679162e745b11e71cb60b00db8-1719510166784;beyit incelemeleri;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1742326085533;CUMHURİYET ROMAN- 4;Kurum Girilecek
85cf7f78d52f24b1855c37e9a252bd190adc9774-1681561139168;2019 TÜRKÇE DERSİ ÖĞRETİM PROGRAMI;Kurum Girilecek
15a2ee8b633f754e598185dfa9a9fcf803a820c1-1722117182838;9.DENEME(DÖRT TEMEL BECERİ ÇÖZÜM);Kurum Girilecek
cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1671382067946;SERVERTİ FÜNUN SANATÇILARI DEVAM 2;Kurum Girilecek
4e115b4f2f6895ce8fc92bc882a966a33afede39-1770565818804;ARUZ 4;Kurum Girilecek
2b34ff093a4fe562ccbd4d1dec9defa11fabe2e9-1764434976340;DİNLEME BECERİSİNİ GELİŞTİRME ÇALIŞMALARI - 2;Kurum Girilecek
3af846574fd50b2f85a88fec4e1df1aa4af0361e-1751400501802;10. DENEME DİLBİLİM DİLBİLGİSİ EDEBİYAT ÇÖZÜM;Kurum Girilecek
63f2e14f54fa66ec3aceda1ecb023cfc40028865-1769533101478;DİL BİLİMİ KURAMLARI VE DİL BİLİMİNİN ALT DALLARI - 2;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1741285218830;YAZMA HATALARININ SINIFLANDIRILMASI;Kurum Girilecek
3782f0e4530f4e62af8384aec07aae4f0e7422f7-1712077596109;Eski dil soru çözümü 2 ;Kurum Girilecek
c2bdcd65896ccb7d920c772a7023ec30413ca386-1742149556472;ÇOCUK EDEBİYATININ ÖNEMİ VE AMAÇLARI;Kurum Girilecek
dd091fb3ceeb6bc0df7b7a778c56d22364201521-1742841918310;7528 ÖMK ;Kurum Girilecek
88d69de1a3b9f514bd92c3c9a1f91277fccb196d-1754336575521;Savunma Sanayii, Robotik ve Uzay Teknolojileri;Kurum Girilecek
403e7c4599e9a25f7617b1b86e974585ad29418a-1713196821119;giriş;Kurum Girilecek
b5bc6818a467abbca3c650f83325e51fbffb1bc7-1707567519519;AYT Edebiyat: ;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1745081598969;MAARİF PROGRAMI-2;Kurum Girilecek
63f2e14f54fa66ec3aceda1ecb023cfc40028865-1766159447573;SAUSSURE - 1;Kurum Girilecek
