Klasor Adi;Ders Adi;Kurum
0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699120638546;DİNLEME ÖĞRETİMİ AMAÇLARI;Kurum Girilecek
35055dac95adb3f6c0c8afe1593ea9f87912dc72-1767542007380;Rus Ed. 2;Kurum Girilecek
257b8486470c6884f0398c39a6e5efed9426676c-1710178559290;İnkılap Tarihi Konu: ;Kurum Girilecek
fe534ba2be486200b29eba3998f61d35ede4b765-1740591494537;şair yazar eser;Kurum Girilecek
d44903671de8d1334d8ad17ab92feffe4927e2ea-1746897265986;2025 Coğrafya son ders ;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1703606141299;SERVETİFÜNUN EDEBİYATI-9;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1698770964813;YENİ TÜRK EDEBİYATININ OLUŞUMU-2;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1738687692454;Ara Soru Çözüm -4;Kurum Girilecek
4b39fd288dc2700c79d58ee85b39fd914c7ff7ef-1747151858422;SORU ÇÖZÜMÜ-7;Kurum Girilecek
885cd183396123664aae15258f36ab40589223ad-1746723438558;1982 ANAYASASI 11. DERS;Kurum Girilecek
270f60d54582aff392d4aded1fb576a12747a0bf-1707579925214;YTE Konu: GARİP, MAVİCİLER, METAFİZİK VB.;Kurum Girilecek
1f7cd668ce7e4c273aaaba01d509ba908a565dee-1708012639980;TYT Din Kültürü: ;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1709225561921;geleneksel halk tiyatrosu;Kurum Girilecek
ca2631f21e223d6f571776d7f85e6f0169fab9d4-1707759451083;İnkılap Tarihi Konu: ;Kurum Girilecek
d52009013d58587cadaa98e1959823026d7bdebe-1713455337937;YKS konu: ;Kurum Girilecek
0fa403f748d27fb79fb177495db35d31a4ffeb4b-1710523436816;Halk Edebiyatı Konu: ;Kurum Girilecek
58fee96126fbde0c4f5e3c147df457ad979a56d4-1709743918327;şair yazar eserler;Kurum Girilecek
d50f126aa772d972d939cb66d01bd09436ed608f-1696267880130;Türkçe 5 konu: (Ses Bilgisi);Kurum Girilecek
6e219a378f2692168f29455686a30cd96c81ac37-1697871408480;TYT Biyoloji Konu: ;Kurum Girilecek
0438f1d3d07af958ccc238046a7dfc607cfd7812-1718207937760;Dil Bilimi;Kurum Girilecek
5b228d99ee410433393d6de8e014d0c350970347-1709741604726;AYT Kimya Konu: ;Kurum Girilecek
bd5840faac58814ccbb7bb2b5f1092329c3c2cd7-1709055064337;4 Temel Beceri: ;Kurum Girilecek
7d10f586abac7ef1d2d94940896f2d39e1bd590e-1747155682274;Maarif model 7;Kurum Girilecek
d07fe84bbed5708370112dd60100b421c75bdefc-1698859859480;TYT Türkçe Konu: Sözcük Türleri Zamirler;Kurum Girilecek
15a2ee8b633f754e598185dfa9a9fcf803a820c1-1715541852397;4. DENEME (ALAN EĞİTİMİ);Kurum Girilecek
3af846574fd50b2f85a88fec4e1df1aa4af0361e-1772673759722;2. DENEME DÖRT TEMEL BECERİ ÇÖZÜMÜ;Kurum Girilecek
63f2e14f54fa66ec3aceda1ecb023cfc40028865-1776015526368;Dil Bilimi Okulları ve Temsilcileri - 5 KURANIMA SON. :)) VEDA :(((;Kurum Girilecek
fe534ba2be486200b29eba3998f61d35ede4b765-1733935554667;sanatlar;Kurum Girilecek
048d630512c740c713b316735610912497e42716-1740322566377;Eğitim Temelleri;Kurum Girilecek
6debbf1ac3f8c0ba6c516f4699204a07a3c8bd65-1715359472924;Rus ve diğer ederbiyatlar;Kurum Girilecek
0758edff050eae089f3858309ffac58365890849-1707326812718;Türkçe Konu: Cümle Türleri;Kurum Girilecek
612657214c796c7cb1244441b9b9cd106b1f600e-1708884103567;Temel Matematik: ;Kurum Girilecek
dc12c9d877c70209ea7d0274e884c99ee397001f-1761061891796;SES BİLGİSİ/FONETİK (Ses Bilgisiyle İlgili Kavramlar ve Türkçenin Ses Özellikleri)-1;Kurum Girilecek
059f2ad29732c04932217af6f0290782094cecca-1751471713013;halk edebiyatı;Kurum Girilecek
569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721056648516;DÖRT TEMEL BECERİ-2;Kurum Girilecek
15a2ee8b633f754e598185dfa9a9fcf803a820c1-1710191509506;2. DENEME ( DİL BİLGİSİ - DİLBİLİM ÇÖZÜM);Kurum Girilecek
63f2e14f54fa66ec3aceda1ecb023cfc40028865-1774805973160;Metin Dil Bilimi -1;Kurum Girilecek
3af846574fd50b2f85a88fec4e1df1aa4af0361e-1751031539642;9. DENEME DİLBİLİM DİLBİLGİSİ EDEBİYAT ÇÖZÜM;Kurum Girilecek
0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1707579989946;SÖZVARLIĞINI GELİŞTİRME ÇALIŞMALARI;Kurum Girilecek
d5a49c3ab0991a06073f0f2931a2fc49ad269629-1762450747474;Eski Türk Edebiyatında Mazmunlar-5;Kurum Girilecek
5266cf68755675457fd9be0c28228c405bfb4a0e-1716479157980;TYT Felsefe Soru Çözümü;Kurum Girilecek
88d69de1a3b9f514bd92c3c9a1f91277fccb196d-1754365381656;Savunma Sanayii, Robotik ve Uzay Teknolojileri;Kurum Girilecek
96799d44ee03757118ca942f4420977e2fa2f2a2-1719079068400;PROGRAMIN YAPISI;Kurum Girilecek
58fee96126fbde0c4f5e3c147df457ad979a56d4-1704908950380;sanatlar;Kurum Girilecek
cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1679860681600;CUMURİYET DÖNEMİ EDEBİYATI DEVAM 3;Kurum Girilecek
b3b4c61ef39775111f9f126f07145fc394d632fb-1736875886210;İslamiyet Öncesi ve Türk İslam Tarihi ;Kurum Girilecek
786938618e1e7948a757aa917f5b2c22d5c498aa-1705592754588;YTE Konu: ;Kurum Girilecek
eca6aec8f2075c6ad19f6f2c57f98d0be07ce078-1715442653265;Halk Edebiyatı Soru Çözümü ;Kurum Girilecek
3c4e2614063fc4abf9c1914cb09c4d508e93febf-1672155630622;Eski Türk Dili 15, Fiilde Çatı-Yapım Ekleri;Kurum Girilecek
e922b1beebfb8973d6c5ec5986d3ebc812da8b9f-1747810567871;2025 Matematik: ;Kurum Girilecek
dfa817c27882968af393243819da3fa1695ffc6a-1703778035587;Felsefe Konu: ;Kurum Girilecek
fe534ba2be486200b29eba3998f61d35ede4b765-1739378771320;mazmunlar;Kurum Girilecek
6fb816cac8d877ed782a082bbfb25c5eb5744b39-1767020183380;destanlar;Kurum Girilecek
